name,phone,city,state,address,place_id
"JW Plumbing, Heating and Air",(213) 379-5931,Los Angeles,CA,"904 Wall St Suite 203, Los Angeles, CA 90015, USA",ChIJk-ouR5THwoAR8ZQODmjB3dg
Brody Pennell Heating & Air Conditioning,(310) 896-4911,Los Angeles,CA,"8599 Venice Blvd., Los Angeles, CA 90034, USA",ChIJZ87Dn365woARcqfL59YnyJo
Southwest Heating & Air Conditioning,(310) 867-0703,Los Angeles,CA,"622 Alpine St, Los Angeles, CA 90012, USA",ChIJVdFBbpPH3IAR__1viQ9xtSI
Pure AIR LA HVAC contractor,(213) 296-1315,Los Angeles,CA,"1959 Grace Ave #401, Los Angeles, CA 90068, USA",ChIJDbGmAhG10k8RdKadwkHp7vc
LC Heating & Air Conditioning,(323) 970-3113,Los Angeles,CA,"509 N Fairfax Ave, Los Angeles, CA 90036, USA",ChIJ_fJ8TdI_vgwRgBgWPbej4O0
Los Angeles ❄️ Air Conditioning Service,(424) 459-7191,Los Angeles,CA,"506 N Virgil Ave, Los Angeles, CA 90004, USA",ChIJA9LvEevck4gRxBKjpxTSefs
HVAC Contractors Los Angeles,(213) 642-2471,Los Angeles,CA,"464 N Fairfax Ave, Los Angeles, CA 90036, USA",ChIJS2dbn6cvjoARVI5YNjcDjZM
Los Angeles HVAC Repair,(818) 280-8168,Los Angeles,CA,"4470 Sunset Blvd, Los Angeles, CA 90027, USA",ChIJJ0B1henHwoARRZH6QMBNMZM
LA Heating and Air Conditioning,(818) 341-3406,Los Angeles,CA,"6430 Variel Ave #102, Woodland Hills, CA 91367, USA",ChIJFxg8FsubwoAR9bOsX0tDZGc
Service Genius Air Conditioning and Heating,(310) 359-0260,Los Angeles,CA,"8217 Beverly Blvd #29, Los Angeles, CA 90048, USA",ChIJJ0GBZzS5woARWBB0aIwUImo
Precise Air Systems Inc.,(818) 240-1737,Los Angeles,CA,"5467 W San Fernando Rd, Los Angeles, CA 90039, USA",ChIJFScWqULAwoARl31tmuvKhBs
Universal Heating & Air,(323) 763-5777,Los Angeles,CA,"2260 Maravilla Dr, Los Angeles, CA 90068, USA",ChIJEfoSUWy7woARHtZ9McSNhtw
